ID,Persona,Feature Area,User Story,Acceptance Criteria,Priority,Story Points
VIP-001,VIP KAM,Table View,As a VIP KAM I want to see all my assigned VIPs in a paginated table so that I can quickly assess my full book of business at a glance.,"Table loads with all assigned VIPs on page load | Columns visible: Name · Segment · Tier · State · GGR L30 · Last Contact · Last Bonus Issued · Status · Actions | Pagination shows X–Y of N VIPs | Default sorted by Last Contact ascending",P1,5
VIP-002,VIP KAM,Table View,As a VIP KAM I want to see a skeleton loading state while VIP data is fetching so that I understand the page is loading and not broken.,"Skeleton rows appear immediately on navigation | Skeleton matches table column structure | Loading resolves within 3 seconds on standard connection",P1,2
VIP-003,VIP KAM,Table View,As a VIP KAM I want to see an empty state message when no VIPs are assigned to me so that I understand why the table is blank and what to do next.,"Empty state displays icon + headline + descriptive message | Message directs user to contact manager or check assignment settings | No broken UI or console errors",P1,2
VIP-004,VIP KAM,Data Display,As a VIP KAM I want GGR L30 values to be color-coded (green = positive / red = negative) so that I can immediately identify at-risk players without reading every number.,"Positive GGR: green text with + prefix | Negative GGR: red text with − prefix | Color coding consistent across all table rows",P1,2
VIP-005,VIP KAM,Data Display,As a VIP KAM I want Last Contact dates to show urgency coloring (dark ≤14d / orange 15–25d / red >25d) so that I can prioritize outreach without manual calculation.,"≤14 days: dark/default text | 15–25 days: amber/orange text | >25 days: red text | Relative labels used (e.g. 22 days ago)",P1,3
VIP-006,VIP KAM,Data Display,As a VIP KAM I want to see each VIP's segment abbreviations (SBK · CAS · DFS · FDR) as plain comma-separated text so that I can scan product engagement at a glance.,"Segments display as comma-separated abbreviations e.g. SBK, CAS | No chip or pill components used | Abbreviations match defined taxonomy",P1,1
VIP-007,VIP KAM,Status Display,As a VIP KAM I want VIP status (Active / Suspended / Deactivated) displayed as color-coded pill badges so that I can instantly identify non-active players.,"Active: green pill | Suspended: amber/orange pill | Deactivated: gray pill | All pills display uppercase text",P1,2
VIP-008,VIP KAM,Search & Filter,As a VIP KAM I want to search for a VIP by name so that I can quickly navigate to a specific player without scrolling the full list.,"Search input appears in the filter bar | Results filter in real-time or on submit | Matching VIPs display; no match shows empty state | Sorted by dismissal pill appears when filter is active",P1,5
VIP-009,KAM Manager,Search & Filter,As a KAM Manager I want to apply SLDS list filters to narrow VIPs by segment / tier / or status so that I can focus on a specific subset for review or reporting.,"Filter button opens SLDS OOTB filter panel | Filters available: Segment · Tier · Status · State | Filtered results update table and pagination count | Filters can be cleared individually or all at once",P2,5
VIP-010,VIP KAM,Sort,As a VIP KAM I want to sort the table by GGR L30 descending so that I can prioritize outreach to my highest-value players first.,"Clicking a sortable column header (Name · Tier · GGR L30 · Last Contact · Last Bonus Issued) toggles sort asc/desc | Active sort column shows highlighted header with directional arrow | Row order updates immediately | Sorted by [Column] ↓ dismissal pill appears in filter bar",P1,3
